Year ,Team,Sialkot win /Loss,Players Name,Runs,4s ,6s
2015,Sialkot stallions vs  peshawar pathans,win,Mukhtar Ahmed ,1,0,0
2015,Sialkot stallions vs  peshawar pathans,win,Nauman anwar,65,7,3
2015,Sialkot stallions vs  peshawar pathans,win,Shoaib Malik,95,4,9
2015,Sialkot stallions vs  peshawar pathans,win,Ayaz tasware,1,0,0
2015,Sialkot stallions vs  peshawar pathans,win,Sultan ahmed,0,0,0
2015,Sialkot stallions vs  peshawar pathans,win,Najaf Shah,0,0,0
2015,Sialkot stallions vs  peshawar pathans,win,Umaid Asif ,0,0,0
2015,Sialkot stallions vs  peshawar pathans,win,Ali Khan,0,0,0
2015,Sialkot stallions vs  peshawar pathans,win,Usma Mir,0,0,0
2015,Sialkot stallions vs  peshawar pathans,win,Ahmed Butt,0,0,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Mukhtar Ahmed ,5,0,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Nauman Anwer,15,3,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Shoaib Malik,1,0,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Ayaz tasware,64,5,4
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Ali Khan,6,0,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Sultan ahmed,12,1,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Bilawal Batti,1,0,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Ahmed Butt,1,0,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Usma Mir,11,1,1
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Najaf Shah,0,0,0
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Mukhtar Ahmed ,27,4,0
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Nauman Anwar,13,1,1
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Billal Asif,114,8,10
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Shoaib Malik,56,6,1
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Haris Shoail,10,0,1
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Bilawal Batti,0,0,0
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Usma Mir,0,0,0
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Ahmed butt,0,0,0
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Sultan ahmed,0,0,0
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Ayaz tasware,0,0,0
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Ali Khan,0,0,0
2015,Sialkot Stalions vs Karachi Kings,Won,Mukhtar Ahmed ,25,3,0
2015,Sialkot Stalions vs Karachi Kings,Won,Nauman anwar,80,9,5
2015,Sialkot Stalions vs Karachi Kings,Won,Bilal asif,25,2,2
2015,Sialkot Stalions vs Karachi Kings,Won,Shoaib Malik,22,0,1
2015,Sialkot Stalions vs Karachi Kings,Won,Haris Shoail,0,0,0
2015,Sialkot Stalions vs Karachi Kings,Won,Ali Khan,7,0,0
2015,Sialkot Stalions vs Karachi Kings,Won,Ayaz tasware,0,0,0
2015,Sialkot Stalions vs Karachi Kings,Won,Sultan ahmed,0,0,0
2015,Sialkot Stalions vs Karachi Kings,Won,Usma Mir,1,0,0
2015,Sialkot Stalions vs Karachi Kings,Won,Ahmed Butt,4,1,0
2015,Sialkot Stalions vs Karachi Kings,Won,Bilawal Batti,1,0,0
2015,Sialkot Stalions Vs Lahore Lions,Won,Mukhtar Ahmed ,6,1,0
2015,Sialkot Stalions Vs Lahore Lions,Won,Nauman Anwar,97,10,6
2015,Sialkot Stalions Vs Lahore Lions,Won,Bilal asif,5,1,0
2015,Sialkot Stalions Vs Lahore Lions,Won,Ahmed Butt,4,1,0
2015,Sialkot Stalions Vs Lahore Lions,Won,Haris Shoail,47,4,0
2015,Sialkot Stalions Vs Lahore Lions,Won,Ali Khan,8,0,1
2015,Sialkot Stalions Vs Lahore Lions,Won,Shoaib Malik,11,0,1
2015,Sialkot Stalions Vs Lahore Lions,Won,Ayaz tasware,13,0,1
2015,Sialkot Stalions Vs Lahore Lions,Won,Bilawal Batti,0,0,0
2015,Sialkot Stalions Vs Lahore Lions,Won,Sultan ahmed,5,1,0
2015,Sialkot Stalions Vs Lahore Lions,Won,Usma Mir,0,0,0
