Year ,Team,Sialkot win /Loss,Players Name,Runs,4s ,6s,,label
2015,Sialkot stallions vs  peshawar pathans,win,Mukhtar Ahmed ,1,0,0,,yes
2015,Sialkot stallions vs  peshawar pathans,win,Nauman anwar,65,7,3,,yes
2015,Sialkot stallions vs  peshawar pathans,win,Shoaib Malik,95,4,9,,yes
2015,Sialkot stallions vs  peshawar pathans,win,Ayaz tasware,1,0,0,,yes
2015,Sialkot stallions vs  peshawar pathans,win,Sultan ahmed,0,0,0,,yes
2015,Sialkot stallions vs  peshawar pathans,win,Najaf Shah,0,0,0,,yes
2015,Sialkot stallions vs  peshawar pathans,win,Umaid Asif ,0,0,0,,yes
2015,Sialkot Stalions vs Karachi Kings,Won,Ayaz tasware,0,0,0,,yes
2015,Sialkot Stalions vs Karachi Kings,Won,Sultan ahmed,0,0,0,,yes
2015,Sialkot Stalions vs Karachi Kings,Won,Usma Mir,1,0,0,,yes
2015,Sialkot Stalions vs Karachi Kings,Won,Ahmed Butt,4,1,0,,yes
2015,Sialkot Stalions vs Karachi Kings,Won,Bilawal Batti,1,0,0,,no
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Shoaib Malik,1,0,0,,no
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Ayaz tasware,64,5,4,,no
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Usma Mir,11,1,1,,no
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Najaf Shah,0,0,0,,no
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Mukhtar Ahmed ,27,4,0,,no
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Nauman Anwar,13,1,1,,no
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Billal Asif,114,8,10,,no
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Shoaib Malik,56,6,1,,no
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Haris Shoail,10,0,1,,no
2015,Sialkot Stalions Vs Lahore Lions,Won,Usma Mir,0,0,0,,no
