Year ,Team,Sialkot win /Loss,Players Name,Runs,4s ,6s
2015,Sialkot stallions vs  peshawar pathans,win,Mukhtar Ahmed ,1,0,0
2015,Sialkot stallions vs  peshawar pathans,win,Nauman anwar,65,7,3
2015,Sialkot stallions vs  peshawar pathans,win,Shoaib Malik,95,4,9
2015,Sialkot stallions vs  peshawar pathans,win,Ayaz tasware,1,0,0
2015,Sialkot stallions vs  peshawar pathans,win,Sultan ahmed,0,0,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Sultan ahmed,12,1,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Bilawal Batti,1,0,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Ahmed Butt,1,0,0
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Usma Mir,11,1,1
2015,Sialkot stallions vs  Rawalpindi Rams,Loss,Najaf Shah,0,0,0
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Mukhtar Ahmed ,27,4,0
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Nauman Anwar,13,1,1
2015,Sialkot Stalions vs Abbottabad Falcons,Won,Billal Asif,114,8,10
2015,Sialkot Stalions vs Karachi Kings,Won,Bilawal Batti,1,0,0
2015,Sialkot Stalions Vs Lahore Lions,Won,Mukhtar Ahmed ,6,1,0
2015,Sialkot Stalions Vs Lahore Lions,Won,Nauman Anwar,97,10,6
